Year,Office,TotalBudget,TotalQty,AvgUnitCost
2022,Sports Development and Management Unit,4467798.61,5150,6549.841698113208
2022,Student Affairs Services,3173089.83,1014,28565.318113207544
2022,Student Development Services Unit,99516.5,96,3981.0163636363636
2022,Student Development Unit,42881.6,170,825.4084210526316
2022,Student Organization Section,643351.9199999999,91,35074.84166666667
2022,Student Publication Section,5041511.3,632,99924.1
2022,Student Welfare Services Unit,142048.88,30,8473.4025
2022,Supply and Property Management Unit,1042291.61,9748,3937.2827586206895
2022,"Technology, Development, Transfer and Commercialization Office",493473.45999999996,119,26537.832307692308
2022,"Testing, Evaluation & Monitoring Section",1592643.48,532,5661.753913043478
2022,Training and Organization Development Unit,2223241.9,130,3743.1392857142855
2022,University Hotel,7815147.57,15873,33811.53378787879
2022,VPPQA - PCSU,19939624.65,19930,366918.35193548386
2023,Accounting Unit,1581768.21,4769,9454.131458333333
2023,Administrative Services Unit,8087447.53,34454,8390.48448275862
2023,Admission and Registration Office,5776630.78,3151,16608.913684210525
2023,Alumni Affairs Office,10724.66,52,305.44818181818187
2023,Budget Management Unit,303845.64,331,721.71
2023,Career Education & Job Placement Section,380626.33999999997,229,4910.164693877551
2023,Cashiering Unit,1996504.1400000001,930,15614.796341463416
2023,Center for Community and Local Governance Studies and Policy Development,267338.88,201,4629.1466666666665
2023,Center for Engineering and Environmental Research,257785.36,116,4726.558285714286
2023,Center for Natural Products Research,488457.93,156,7674.820000000001
2023,"Center for Peace, Indigenous People Resources and Development",304506.77,89,5249.480967741935
2023,Center for Solar and Emerging Technologies,1266339.9,404,10133.07296875
2023,College of Architecture and Fine Arts,7216203.0,820,17219.9844
2023,College of Arts and Social Sciences,5618241.22,667,26837.14757894737
2023,College of Business and Accountancy,5494241.08,301,52155.89214285714
2023,College of Computer Studies,4361308.44,384,140513.1446153846
2023,College of Criminal Justice and Education,254417.16,412,3756.920625
2023,College of Education,7729238.859999999,898,57139.36696629214
2023,College of Industrial Technology,839497.6,2447,1780.8731460674157
2023,College of Public Administration & Governance,1500560.57,352,18715.753055555557
2023,Commission on Audit,268517.4,221,1727.0275000000001
2023,Economic Enterprise Development Section,495407.64,97,14189.596551724138
2023,Employee's Welfare Unit,15339304.5,111,353670.38558139536
2023,Extension Services Management Office,8849106.23,893,31476.966231884056
2023,Finance Office,90848.22,39,9115.153333333334
